design	evaluated_against	design_id	stat	value
all	sars-cov-2	1	frac-bound-active	0.0
all	sars-cov-2	2	frac-bound-active	0.9990825040581551
all	sars-cov-2	3	frac-bound-active	0.0
all	sars-cov-2	4	frac-bound-active	0.0
all	sars-cov-2	5	frac-bound-active	0.0
all	sars-cov-2	6	frac-bound-active	0.0
all	sars-cov-2	7	frac-bound-active	0.0
all	sars-cov-2	8	frac-bound-active	0.0
all	sars-cov-2	9	frac-bound-active	0.0
all	sars-cov-2	10	frac-bound-active	0.00021172983273343214
all	sars-cov-2	11	frac-bound-active	0.0
all	sars-cov-2	12	frac-bound-active	0.0
all	sars-cov-2	13	frac-bound-active	0.0
all	sars-cov-2	14	frac-bound-active	0.0
all	sars-cov-2	15	frac-bound-active	0.0
all	sars-cov-2	16	frac-bound-active	0.0
all	sars-cov-2	17	frac-bound-active	0.0
all	sars-cov-2	18	frac-bound-active	0.0
all	sars-cov-2	19	frac-bound-active	0.0
all	sars-cov-2	20	frac-bound-active	0.0
all	sars-cov-2	1	frac-bound-highly-active	0.0
all	sars-cov-2	2	frac-bound-highly-active	0.0
all	sars-cov-2	3	frac-bound-highly-active	0.0
all	sars-cov-2	4	frac-bound-highly-active	0.0
all	sars-cov-2	5	frac-bound-highly-active	0.0
all	sars-cov-2	6	frac-bound-highly-active	0.0
all	sars-cov-2	7	frac-bound-highly-active	0.0
all	sars-cov-2	8	frac-bound-highly-active	0.0
all	sars-cov-2	9	frac-bound-highly-active	0.0
all	sars-cov-2	10	frac-bound-highly-active	0.0
all	sars-cov-2	11	frac-bound-highly-active	0.0
all	sars-cov-2	12	frac-bound-highly-active	0.0
all	sars-cov-2	13	frac-bound-highly-active	0.0
all	sars-cov-2	14	frac-bound-highly-active	0.0
all	sars-cov-2	15	frac-bound-highly-active	0.0
all	sars-cov-2	16	frac-bound-highly-active	0.0
all	sars-cov-2	17	frac-bound-highly-active	0.0
all	sars-cov-2	18	frac-bound-highly-active	0.0
all	sars-cov-2	19	frac-bound-highly-active	0.0
all	sars-cov-2	20	frac-bound-highly-active	0.0
all	sars-cov-2	1	mean-guide-activity	2.0033813239149354
all	sars-cov-2	2	mean-guide-activity	2.312695044238865
all	sars-cov-2	3	mean-guide-activity	0.002475484326706665
all	sars-cov-2	4	mean-guide-activity	2.176101612557242
all	sars-cov-2	5	mean-guide-activity	0.0
all	sars-cov-2	6	mean-guide-activity	0.0
all	sars-cov-2	7	mean-guide-activity	0.0026822807162955177
all	sars-cov-2	8	mean-guide-activity	1.1816933261884963
all	sars-cov-2	9	mean-guide-activity	0.0
all	sars-cov-2	10	mean-guide-activity	1.2786518281476498
all	sars-cov-2	11	mean-guide-activity	4.388162288612148e-05
all	sars-cov-2	12	mean-guide-activity	1.6314916444538123
all	sars-cov-2	13	mean-guide-activity	2.8694848778503514
all	sars-cov-2	14	mean-guide-activity	0.0
all	sars-cov-2	15	mean-guide-activity	0.0
all	sars-cov-2	16	mean-guide-activity	0.0
all	sars-cov-2	17	mean-guide-activity	2.0365034903890837
all	sars-cov-2	18	mean-guide-activity	0.0
all	sars-cov-2	19	mean-guide-activity	0.0
all	sars-cov-2	20	mean-guide-activity	1.5619400677894815
all	input	1	frac-bound-active	0.9742765273311897
all	input	2	frac-bound-active	0.9967845659163987
all	input	3	frac-bound-active	0.9421221864951769
all	input	4	frac-bound-active	0.9871382636655949
all	input	5	frac-bound-active	0.932475884244373
all	input	6	frac-bound-active	0.9903536977491961
all	input	7	frac-bound-active	0.9967845659163987
all	input	8	frac-bound-active	0.9807073954983923
all	input	9	frac-bound-active	0.9710610932475884
all	input	10	frac-bound-active	0.9967845659163987
all	input	11	frac-bound-active	0.9839228295819936
all	input	12	frac-bound-active	0.9485530546623794
all	input	13	frac-bound-active	0.9903536977491961
all	input	14	frac-bound-active	0.9871382636655949
all	input	15	frac-bound-active	0.9871382636655949
all	input	16	frac-bound-active	0.8713826366559485
all	input	17	frac-bound-active	0.9839228295819936
all	input	18	frac-bound-active	0.977491961414791
all	input	19	frac-bound-active	0.9903536977491961
all	input	20	frac-bound-active	0.9903536977491961
all	input	1	frac-bound-highly-active	0.9678456591639871
all	input	2	frac-bound-highly-active	0.9646302250803859
all	input	3	frac-bound-highly-active	0.6720257234726688
