family	genus	species	taxid	segment	refseqs
Adenoviridae	Mastadenovirus	Human mastadenovirus A	129875	None	NC_001460
Adenoviridae	Mastadenovirus	Human mastadenovirus B	108098	None	NC_011202,NC_011203
Adenoviridae	Mastadenovirus	Human mastadenovirus C	129951	None	NC_001405
Adenoviridae	Mastadenovirus	Human mastadenovirus D	130310	None	NC_010956,NC_012959
Adenoviridae	Mastadenovirus	Human mastadenovirus E	130308	None	NC_017825,NC_003266
Adenoviridae	Mastadenovirus	Human mastadenovirus F	130309	None	NC_001454
Adenoviridae	Mastadenovirus	Human mastadenovirus G	536079	None	NC_006879
Amalgaviridae	unknown	Zygosaccharomyces bailii virus Z	114871	None	NC_003874
Anelloviridae	Alphatorquevirus	Simian torque teno virus 30	1619218	None	NC_026663
Anelloviridae	Alphatorquevirus	Simian torque teno virus 31	1619219	None	NC_026662
Anelloviridae	Alphatorquevirus	Simian torque teno virus 32	1619220	None	NC_026664
Anelloviridae	Alphatorquevirus	Simian torque teno virus 33	1629656	None	NC_026764
Anelloviridae	Alphatorquevirus	Simian torque teno virus 34	1629657	None	NC_026765
Anelloviridae	Alphatorquevirus	Torque teno virus 1	687340	None	NC_002076
Anelloviridae	Alphatorquevirus	Torque teno virus 10	687349	None	NC_014076
Anelloviridae	Alphatorquevirus	Torque teno virus 11	687350	None	NC_038338
Anelloviridae	Alphatorquevirus	Torque teno virus 12	687351	None	NC_014075
Anelloviridae	Alphatorquevirus	Torque teno virus 13	687352	None	NC_038339
Anelloviridae	Alphatorquevirus	Torque teno virus 14	687353	None	NC_014077
Anelloviridae	Alphatorquevirus	Torque teno virus 15	687354	None	NC_014096
Anelloviridae	Alphatorquevirus	Torque teno virus 16	687355	None	NC_014091
Anelloviridae	Alphatorquevirus	Torque teno virus 19	687358	None	NC_014078
Anelloviridae	Alphatorquevirus	Torque teno virus 2	687341	None	NC_014480
Anelloviridae	Alphatorquevirus	Torque teno virus 20	687359	None	NC_038340
Anelloviridae	Alphatorquevirus	Torque teno virus 21	687360	None	NC_038341
Anelloviridae	Alphatorquevirus	Torque teno virus 23	687362	None	NC_038342
Anelloviridae	Alphatorquevirus	Torque teno virus 24	687363	None	NC_038343
Anelloviridae	Alphatorquevirus	Torque teno virus 25	687364	None	NC_014083
Anelloviridae	Alphatorquevirus	Torque teno virus 26	687365	None	NC_014079
Anelloviridae	Alphatorquevirus	Torque teno virus 27	687366	None	NC_014074
Anelloviridae	Alphatorquevirus	Torque teno virus 28	687367	None	NC_014073
Anelloviridae	Alphatorquevirus	Torque teno virus 29	687368	None	NC_038344
Anelloviridae	Alphatorquevirus	Torque teno virus 3	687342	None	NC_014081
Anelloviridae	Alphatorquevirus	Torque teno virus 4	687343	None	NC_014069
Anelloviridae	Alphatorquevirus	Torque teno virus 5	687344	None	NC_038336
Anelloviridae	Alphatorquevirus	Torque teno virus 6	687345	None	NC_014094
Anelloviridae	Alphatorquevirus	Torque teno virus 7	687346	None	NC_014080
Anelloviridae	Alphatorquevirus	Torque teno virus 8	687347	None	NC_014084
Anelloviridae	Alphatorquevirus	Torque teno virus 9	687348	None	NC_038337
Anelloviridae	Betatorquevirus	TTV-like mini virus	93678	None	NC_020498
Anelloviridae	Betatorquevirus	Torque teno mini virus 1	687369	None	NC_014097
Anelloviridae	Betatorquevirus	Torque teno mini virus 10	2065036	None	NC_038345
Anelloviridae	Betatorquevirus	Torque teno mini virus 11	2065037	None	NC_038346
Anelloviridae	Betatorquevirus	Torque teno mini virus 12	2065038	None	NC_038347
Anelloviridae	Betatorquevirus	Torque teno mini virus 18	1859149	None	NC_030297
Anelloviridae	Betatorquevirus	Torque teno mini virus 2	687370	None	NC_014086
Anelloviridae	Betatorquevirus	Torque teno mini virus 3	687371	None	NC_014088
Anelloviridae	Betatorquevirus	Torque teno mini virus 4	687372	None	NC_014090
Anelloviridae	Betatorquevirus	Torque teno mini virus 5	687373	None	NC_014089
Anelloviridae	Betatorquevirus	Torque teno mini virus 6	687374	None	NC_014095
Anelloviridae	Betatorquevirus	Torque teno mini virus 7	687375	None	NC_014082
Anelloviridae	Betatorquevirus	Torque teno mini virus 8	687376	None	NC_014068
Anelloviridae	Betatorquevirus	Torque teno mini virus 9	687377	None	NC_002195
Anelloviridae	Betatorquevirus	Torque teno mini virus ALA22	1535290	None	NC_025726
Anelloviridae	Betatorquevirus	Torque teno mini virus ALH8	1535291	None	NC_025727
